year,Ecuador GDP,USA GDP,Ecuador CO2,USA CO2
1960,455.4615868,3007.123445,0.3881946868,15.99977916
1961,375.2216257,3066.562869,0.352251265,15.68125552
1962,315.6882445,3243.843078,0.3255861005,16.0139375
1963,368.6299561,3374.515171,0.363070334,16.48276215
1964,440.5597153,3573.941185,0.4211339783,16.96811858
1965,455.1980788,3827.52711,0.4342519046,17.45172525
1966,449.9202903,4146.316646,0.4482368668,18.12107301
1967,459.2788814,4336.426587,0.4662883821,18.59831788
1968,450.9997878,4695.92339,0.5444017676,19.08938916
1969,527.9004426,5032.144743,0.6095735855,19.85794566
1970,471.6307195,5234.296666,0.7056830883,21.11125227
1971,440.8573691,5609.3826,0.6761807838,20.98020348
1972,495.535764,6094.01799,0.7146492686,21.74864198
1973,588.3367983,6726.358956,0.795505653,22.51058213
1974,970.0114387,7225.69136,0.8952868322,21.50293038
1975,1105.420081,7801.456664,1.052757275,20.40222407
1976,1264.912873,8592.253537,1.128498104,21.15761537
1977,1493.331358,9452.576519,1.013627676,21.53248401
1978,1572.40136,10564.94822,1.374940075,21.97300469
1979,1821.047648,11674.18631,1.563077269,21.78043698
1980,2238.214842,12574.79151,1.682677309,20.78648774
1981,2660.611503,13976.10975,2.036215248,19.76676417
1982,2369.950375,14433.78773,2.293674564,18.59049523
1983,1988.787323,15543.89372,2.267481924,18.57154371
1984,1912.431487,17121.22548,2.403764385,18.97675027
1985,1891.560601,18236.82773,2.143304586,18.88231274
1986,1648.015802,19071.22719,1.643988673,18.72072272
1987,1464.493244,20038.9411,1.587355866,19.35033442
1988,1337.889484,21417.01193,1.770430028,20.01041341
1989,1390.213114,22857.15443,2.028399989,20.07576978
1990,1489.529509,23888.60001,1.644802224,19.32275118
1991,1622.208243,24342.2589,1.575351863,19.05616319
1992,1688.505067,25418.99078,2.079173552,19.13943728
1993,1727.754058,26387.29373,2.208269131,19.34708291
1994,2026.112715,27694.85342,1.218079923,19.36089205
1995,2132.906969,28690.8757,1.994005781,19.27654526
1996,2155.517229,29967.71272,2.067063089,19.49602474
1997,2356.370843,31459.139,1.53627099,19.69036318
1998,2293.889735,32853.67698,1.841248424,19.5792362
1999,1578.933536,34513.5615,1.727676846,19.72716951
2000,1445.279324,36334.90878,1.633810349,20.17875051
2001,1894.615169,37133.24281,1.789962374,19.63650507
2002,2172.101877,38023.16111,1.89830216,19.61340408
2003,2425.851842,39496.48588,2.017035713,19.56410453
2004,2691.278081,41712.80107,2.136325251,19.65837118
2005,3002.136867,44114.74778,2.188925641,19.59188523
2006,3328.882972,46298.73144,2.052671013,19.09406652
2007,3567.836438,47975.96768,2.230483325,19.21789784
2008,4249.019262,48382.55845,2.33000964,18.46176387
2009,4231.615798,47099.98047,2.441287187,17.15773779
2010,4633.590358,48466.82338,2.428931904,17.44286171
2011,5200.55579,49883.11398,2.532808931,16.97695728
2012,5682.045007,51603.49726,2.464793563,16.3104711
2013,6056.330827,53106.90977,2.610035197,16.32347679
2014,6377.09153,55032.958,2.753266363,16.50283724